City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,el calafate,-50.3408,-72.2768,5.34,76,95,0.6,AR,1699863377
118,papao,-17.75,-149.55,25.82,79,44,1.68,PF,1699863323
119,kailua-kona,19.6406,-155.9956,25.98,82,0,3.6,US,1699863378
120,port macquarie,-31.4333,152.9167,19.94,67,60,4.36,AU,1699863378
121,tsiombe,-25.3,45.4833,33.46,31,0,4.97,MG,1699863378
122,badger,64.8,-147.5333,-6.83,88,100,3.6,US,1699863379
123,sudislavl',57.8817,41.7083,6.72,95,100,4.88,RU,1699863379
124,olonkinbyen,70.9221,-8.7187,-3.14,68,99,3.18,SJ,1699863379
125,dem'yanovo,60.3511,47.0842,1.05,97,100,5.16,RU,1699863380
126,georgetown,5.4112,100.3354,32.19,79,20,3.09,MY,1699863244
127,laojunmiao,39.8333,97.7333,4.8,27,99,1.72,CN,1699863380
128,massaguet,12.4755,15.4365,30.96,16,100,4.51,TD,1699863381
129,east london,-33.0153,27.9116,21.52,60,20,7.2,ZA,1699863381
130,korba,22.35,82.6833,30.0,39,69,1.28,IN,1699863381
131,port alfred,-33.5906,26.891,19.54,77,92,4.02,ZA,1699863382
132,sitka,57.0531,-135.33,1.94,80,0,2.06,US,1699863382
133,whitehorse,60.7161,-135.0538,-3.57,80,100,1.54,CA,1699863263
134,singarayakonda,15.25,80.0333,29.02,61,100,6.29,IN,1699863382
135,bikenibeu village,1.3673,173.1241,28.98,84,75,0.0,KI,1699863383
136,kurumkan,54.3,110.3,-5.49,83,27,0.45,RU,1699863383
137,huarmey,-10.0681,-78.1522,19.21,87,60,3.21,PE,1699863383
138,kodinsk,58.6881,99.1844,-3.09,96,100,2.24,RU,1699863383
139,satipo,-11.2522,-74.6386,21.76,93,50,0.74,PE,1699863384
140,holualoa,19.6228,-155.9522,23.91,84,0,3.6,US,1699863384
141,tadmur,34.5608,38.2805,23.1,36,1,1.0,SY,1699863384
142,chiredzi,-21.05,31.6667,28.48,44,77,4.17,ZW,1699863385
143,anadyr,64.75,177.4833,-3.72,79,75,9.0,RU,1699863385
144,al jawf,29.5,38.75,26.51,24,92,1.74,SA,1699863385
145,olingan,8.5314,123.3194,29.48,74,20,3.75,PH,1699863385
146,mount gambier,-37.8333,140.7667,14.16,62,100,3.32,AU,1699863386
147,atar,20.5169,-13.0499,23.73,12,0,3.23,MR,1699863386
148,balqash,46.8481,74.995,5.33,75,40,4.0,KZ,1699863386
149,tenenkou,14.4572,-4.9169,27.63,10,11,5.41,ML,1699863386
150,lazaro cardenas,17.9583,-102.2,24.92,87,19,1.74,MX,1699863323
151,petropavlovsk-kamchatsky,53.0452,158.6483,-3.08,74,40,12.52,RU,1699863387
152,wynyard,-41.0,145.7167,14.82,57,0,5.79,AU,1699863387
153,benoy,8.9833,16.3199,26.03,69,100,0.89,TD,1699863387
154,weno,7.4515,151.8468,26.97,89,75,2.06,FM,1699863388
155,puerto deseado,-47.7503,-65.8938,9.29,50,12,6.05,AR,1699863388
156,mugia,43.1041,-9.2179,19.39,96,100,12.3,ES,1699863388
157,quiruvilca,-7.9667,-78.2,5.08,92,40,1.49,PE,1699863388
158,mata-utu,-13.2816,-176.1745,28.72,74,100,5.2,WF,1699863389
159,bredasdorp,-34.5322,20.0403,19.7,53,97,6.42,ZA,1699863389
160,cape canaveral,28.4058,-80.6048,23.38,93,75,5.14,US,1699863389
161,port saint john's,-31.6229,29.5448,21.05,50,0,5.16,ZA,1699863389
162,tomatlan,19.9333,-105.25,23.89,82,100,1.47,MX,1699863390
163,tazacorte,28.629,-17.9293,23.42,37,40,4.02,ES,1699863390
164,parry sound,45.3501,-80.033,2.03,75,98,6.06,CA,1699863390
165,constantia,44.1833,28.65,11.5,47,29,2.77,RO,1699863390
166,ancud,-41.8697,-73.8203,8.83,87,100,5.37,CL,1699863391
167,cockburn town,21.4612,-71.1419,28.11,75,37,8.7,TC,1699863391
168,znamenskoye,57.1281,73.8282,1.11,98,100,2.74,RU,1699863391
169,namsos,64.4662,11.4957,-0.97,74,0,6.69,NO,1699863391
170,carnarvon,-24.8667,113.6333,23.04,65,11,6.44,AU,1699863392
171,tokar,18.4254,37.729,33.69,41,10,7.61,SD,1699863392
172,windhoek,-22.5594,17.0832,31.73,19,72,1.34,NA,1699863306
173,queenstown,-31.8976,26.8753,18.32,36,0,2.45,ZA,1699863273
174,new norfolk,-42.7826,147.0587,17.72,56,22,3.23,AU,1699863392
175,xam nua,20.4197,104.0439,17.92,99,100,1.52,LA,1699863393
176,tyazhinskiy,56.116,88.524,1.77,97,100,5.55,RU,1699863393
177,pokrovsk,48.282,37.1758,8.45,65,100,6.53,UA,1699863393
178,codrington,-38.2667,141.9667,14.13,63,32,5.91,AU,1699863393
179,nelson bay,-32.7167,152.15,21.16,72,40,3.58,AU,1699863394
180,baiti,13.745,-14.7482,25.88,26,41,2.83,SN,1699863394
181,nizhnevartovsk,60.9344,76.5531,-1.99,86,75,5.0,RU,1699863394
182,enid,36.3956,-97.8784,9.09,84,0,2.57,US,1699863394
183,kuanda,56.3161,116.0806,-14.13,89,100,0.38,RU,1699863394
184,vostochnyy,55.8167,37.8667,3.19,89,100,6.34,RU,1699863395
185,ulladulla,-35.35,150.4667,18.76,65,25,2.16,AU,1699863395
186,axim,4.8699,-2.2405,27.68,80,2,1.71,GH,1699863395
187,saint george,37.1041,-113.5841,14.12,23,0,1.54,US,1699863395
188,nanning,22.8167,108.3167,13.25,73,100,4.14,CN,1699863396
189,kingston,17.997,-76.7936,29.53,70,20,5.66,JM,1699863396
190,pailon,-17.65,-62.75,28.5,52,100,6.02,BO,1699863396
191,the pas,53.8251,-101.2541,-0.99,93,0,5.14,CA,1699863396
192,el granada,37.5027,-122.4694,14.52,86,100,1.54,US,1699863397
193,marco island,25.9363,-81.7157,23.32,91,100,4.12,US,1699863397
194,freetown,8.484,-13.2299,26.89,84,44,1.21,SL,1699863397
195,vadso,70.0744,29.7487,-4.91,86,75,9.26,NO,1699863398
196,college,64.8569,-147.8028,-6.78,85,100,3.6,US,1699863398
197,kuybyshev,55.4475,78.3218,3.09,79,88,4.24,RU,1699863398
198,laguna,38.421,-121.4238,14.49,76,0,2.06,US,1699863398
199,betio village,1.358,172.9211,29.02,77,96,2.63,KI,1699863399
200,callao,-12.0667,-77.15,20.95,88,100,2.06,PE,1699863399
201,madara,11.7798,10.4479,29.19,12,64,5.98,NG,1699863399
202,al bayda,32.7627,21.7551,18.28,67,17,6.81,LY,1699863399
203,kapa'a,22.0752,-159.319,26.18,79,40,11.32,US,1699863400
204,punta arenas,-53.15,-70.9167,8.06,66,100,7.72,CL,1699863358
205,grand falls-windsor,48.9332,-55.6649,-1.94,85,11,2.36,CA,1699863154
206,harstad,68.799,16.5293,-2.44,77,25,2.68,NO,1699863401
207,aripuana,-9.1667,-60.6333,23.44,89,40,0.62,BR,1699863401
208,ust'-kut,56.7938,105.7672,-8.09,74,100,1.79,RU,1699863402
209,sitangkai,4.6628,119.3928,28.8,71,29,4.28,PH,1699863402
210,enewetak,11.3474,162.3373,28.39,80,100,8.24,MH,1699863402
211,kodiak,57.79,-152.4072,0.73,75,75,0.0,US,1699863402
212,kaa-khem,51.6833,94.7333,-10.33,80,100,0.38,RU,1699863403
213,selfoss,63.9331,-20.9971,2.25,58,91,6.51,IS,1699863403
214,ulsteinvik,62.3432,5.8487,3.75,80,2,3.58,NO,1699863203
215,kiunga,-6.1219,141.2906,28.4,66,87,0.65,PG,1699863403
216,panshan,41.1881,122.0494,2.0,42,0,2.24,CN,1699863404
